RowNumber,variable,label
1,pseudonymised_uprn,Pseudonymised Unique Property Reference Number
2,aq_2018_cbmcd-pm10_g_1_100_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
3,aq_2018_cbmcd-pm10_g_1_100_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
4,aq_2018_cbmcd-pm10_g_1_300_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
5,aq_2018_cbmcd-pm10_g_1_300_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
6,aq_2018_cbmcd-pm10_g_1_500_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
7,aq_2018_cbmcd-pm10_g_1_500_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
8,aq_2018_cbmcd-pm10_g_1_1000_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
9,aq_2018_cbmcd-pm10_g_1_1000_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
10,aq_2018_cbmcd-pm10_g_1_2000_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
11,aq_2018_cbmcd-pm10_g_1_2000_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
12,aq_2018_cbmdc-pm2-5_g_1_100_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
13,aq_2018_cbmdc-pm2-5_g_1_100_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
14,aq_2018_cbmdc-pm2-5_g_1_300_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
15,aq_2018_cbmdc-pm2-5_g_1_300_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
